"id","score","decoy","subset"
10,70.6510473730935,0,1
13,69.5881013353104,0,1
18,68.8435730427225,0,1
32,66.4504400131991,0,1
37,65.8948643409289,0,1
38,65.7113484518474,0,1
39,65.2120077437696,0,1
45,64.3000615524846,0,1
47,64.1205635908666,0,1
57,63.169640464032,0,1
60,63.1091497774847,0,1
62,62.9658373657949,0,1
64,62.7667381861418,0,1
75,62.4042093742875,0,1
76,62.4007737829762,0,1
86,61.6484688970831,0,1
88,61.5656865923293,0,1
98,61.0540793979162,0,1
102,60.8309359317988,0,1
120,59.906230675494,0,1
123,59.8710675392859,0,1
125,59.8403473375044,0,1
126,59.6677850449884,0,1
131,59.4472473441853,0,1
137,59.1974181052344,0,1
138,59.1585231437754,0,1
151,58.7514944032262,0,1
158,58.5168441909686,0,1
159,58.4663154457172,0,1
161,58.3645326639836,0,1
167,58.1835287398942,0,1
168,58.1268009813449,0,1
171,58.0583472554342,0,1
172,58.0583472554342,0,1
198,57.3651999929543,0,1
200,57.3052560734435,0,1
201,57.3045753470438,0,1
206,57.1138136506236,0,1
209,57.0932663047773,0,1
210,57.0689209226671,0,1
211,57.0614376206555,0,1
213,57.0467462097049,0,1
220,56.8434344279345,0,1
221,56.7618962297512,0,1
222,56.6741799133777,0,1
223,56.6720528123943,0,1
228,56.4489092774641,0,1
236,56.1772008797802,0,1
239,55.9578202700902,0,1
252,55.5226681780756,0,1
261,55.2004314611512,0,1
265,55.1766811992703,0,1
274,55.0019902540497,0,1
298,54.5894911523104,0,1
304,54.504750607798,0,1
318,54.1148255105523,0,1
320,54.0510140255181,0,1
327,53.863497637184,0,1
340,53.6310342745377,0,1
344,53.5795909489844,0,1
362,53.4031971131788,0,1
367,53.30799499318,0,1
368,53.306898755752,0,1
372,53.2656606117328,0,1
378,53.200702162758,0,1
382,53.1053835475787,0,1
397,52.7531797937126,0,1
403,52.6474200961815,0,1
408,52.5543122153418,0,1
411,52.536886304804,0,1
415,52.5237878057755,0,1
416,52.5237541710991,0,1
420,52.4929028266774,0,1
425,52.3785306176976,0,1
433,52.3380354707691,0,1
434,52.3225386221416,0,1
445,52.122131089274,0,1
447,52.0877020385312,0,1
458,51.9790074453749,0,1
464,51.9163417040141,0,1
465,51.843739124244,0,1
480,51.6861643565553,0,1
483,51.6553866875094,0,1
484,51.6534048094471,0,1
488,51.5888062005345,0,1
492,51.5294181781967,0,1
500,51.3982620204328,0,1
501,51.3963758839789,0,1
503,51.3599951206089,0,1
504,51.3598774595232,0,1
508,51.2693008639846,0,1
514,51.1505919764521,0,1
517,51.1505919764521,0,1
518,51.1505919764521,0,1
519,51.1505919764521,0,1
531,51.0314176516944,0,1
532,51.0218925746691,0,1
538,50.9344637312693,0,1
557,50.6588667339372,0,1
562,50.5546347323334,0,1
564,50.546275929917,0,1
571,50.4655211267377,0,1
595,50.2108072399467,0,1
600,50.1745448521379,0,1
601,50.1274370947414,0,1
604,50.1139388125798,0,1
607,50.0970371962151,0,1
608,50.0950008603987,0,1
614,49.9874410847264,0,1
615,49.9860526350957,0,1
623,49.8015723004146,0,1
626,49.7768724218354,0,1
632,49.7136602399288,0,1
649,49.5296729482274,0,1
664,49.3682516510969,0,1
666,49.3588324526107,0,1
667,49.3588324526107,0,1
671,49.3423031703561,0,1
700,48.9533673809114,0,1
707,48.8966719767445,0,1
710,48.8733216793122,0,1
711,48.8629344504809,0,1
712,48.8507685130439,0,1
716,48.848006883458,0,1
717,48.848006883458,0,1
718,48.848006883458,0,1
719,48.848006883458,0,1
725,48.7920401047183,0,1
728,48.7784690867579,0,1
757,48.4227391491245,0,1
762,48.3780032746923,0,1
769,48.3155640559193,0,1
773,48.2997120289286,0,1
777,48.2686686791365,0,1
782,48.2445086699369,0,1
788,48.204837994552,0,1
795,48.1548597028981,0,1
804,48.0595495528828,0,1
827,47.8472940646651,0,1
852,47.6311811471007,0,1
855,47.5923907838985,0,1
863,47.5321794360685,0,1
865,47.4996723254314,0,1
880,47.3763796019646,0,1
890,47.2734949396614,0,1
896,47.238568905488,0,1
907,47.0604426406361,0,1
915,47.0234576019773,0,1
931,46.9068744446834,0,1
942,46.8177053224395,0,1
944,46.8121452805925,0,1
948,46.7685653417782,0,1
950,46.7685653417782,0,1
958,46.7233604430345,0,1
961,46.696826218222,0,1
963,46.6903607604598,0,1
973,46.6340293571916,0,1
979,46.6008551956444,0,1
990,46.5404320619771,0,1
1003,46.4076482121642,0,1
1010,46.3631001517501,0,1
1019,46.3206920654934,0,1
1028,46.2089495304371,0,1
1033,46.1660989717524,0,1
1041,46.0754181816983,0,1
1043,46.0754181816983,0,1
1045,46.0587761235831,0,1
1049,46.0369467538357,0,1
1050,46.018028040801,0,1
1058,45.9514963183002,0,1
1059,45.9507461009362,0,1
1060,45.9326715135511,0,1
1066,45.8906054717154,0,1
1071,45.852274609904,0,1
1077,45.852274609904,0,1
1078,45.852274609904,0,1
1083,45.852274609904,0,1
1084,45.852274609904,0,1
1085,45.8522745279841,0,1
1086,45.8522745279841,0,1
1090,45.8082407550443,0,1
1092,45.8011063455123,0,1
1096,45.7658868042208,0,1
1101,45.7491620128493,0,1
1104,45.7239707155366,0,1
1108,45.6901557593131,0,1
1114,45.6555608867275,0,1
1116,45.6283313479039,0,1
1117,45.6244668451538,0,1
1120,45.6078324615456,0,1
1128,45.4956777715259,0,1
1133,45.4784074804649,0,1
1140,45.4140196631174,0,1
1141,45.4025053129324,0,1
1143,45.3745853872575,0,1
1150,45.3281379927403,0,1
1154,45.3001250765619,0,1
1159,45.206545304738,0,1
1160,45.1958895505108,0,1
1162,45.1818843942582,0,1
1163,45.1793524826761,0,1
1169,45.1591274293441,0,1
1170,45.1591274293441,0,1
1171,45.1591274293441,0,1
1181,45.1591274293441,0,1
1182,45.1591274293441,0,1
1184,45.1591273474241,0,1
1190,45.1344348047654,0,1
1194,45.1162233563622,0,1
1195,45.1154096185282,0,1
1196,45.1103372807785,0,1
1202,45.0645009490623,0,1
1204,45.0561301873271,0,1
1210,45.0235480876614,0,1
1217,44.973062849069,0,1
1219,44.9359838780299,0,1
1221,44.9359838780299,0,1
1223,44.9149564685242,0,1
1225,44.9032900753202,0,1
1235,44.8233891783391,0,1
1241,44.7536623212359,0,1
1243,44.7499490736788,0,1
1249,44.7229907440055,0,1
1259,44.6552257590414,0,1
1260,44.6434105161187,0,1
1261,44.6415260443388,0,1
1266,44.6059466833163,0,1
1268,44.5891864999072,0,1
1269,44.5860370939555,0,1
1271,44.5573296957746,0,1
1293,44.4659802487842,0,1
1294,44.4659802487842,0,1
1307,44.4141945450729,0,1
1314,44.3620955184458,0,1
1315,44.3481971585145,0,1
1318,44.3371473715399,0,1
1321,44.3237814231563,0,1
1326,44.3062071214154,0,1
1339,44.2428366974699,0,1
1340,44.2428366974699,0,1
1341,44.2428366974699,0,1
1342,44.2420869192729,0,1
1344,44.2270258016715,0,1
1346,44.2167408295482,0,1
1352,44.203114614801,0,1
1356,44.1914345234281,0,1
1357,44.1847851358554,0,1
1359,44.174920714027,0,1
1363,44.147526472982,0,1
1372,44.1059430079847,0,1
1374,44.1001792757597,0,1
1376,44.0771773905278,0,1
1382,44.0605151543293,0,1
1383,44.0605151543293,0,1
1384,44.0605151543293,0,1
1385,44.0605151543293,0,1
1386,44.0605151543293,0,1
1387,44.0605151543293,0,1
1388,44.0605151543293,0,1
1389,44.0605151543293,0,1
1390,44.0605151543293,0,1
1391,44.0605151543293,0,1
1392,44.0605151543293,0,1
1393,44.0605151543293,0,1
1394,44.0605151543293,0,1
1395,44.0605151543293,0,1
1396,44.0605151543293,0,1
1397,44.0605151543293,0,1
1398,44.0605151543293,0,1
1399,44.0605151543293,0,1
1400,44.0605151543293,0,1
1401,44.0605151543293,0,1
1402,44.0605151543293,0,1
1403,44.0605151543293,0,1
1404,44.0605151543293,0,1
1405,44.0605151543293,0,1
1406,44.0605151543293,0,1
1407,44.0605151543293,0,1
1408,44.0605151543293,0,1
1409,44.0605151543293,0,1
1410,44.0605151543293,0,1
1411,44.0605151543293,0,1
1412,44.0605151543293,0,1
1413,44.0605151543293,0,1
1414,44.0605151543293,0,1
1415,44.0605151543293,0,1
1416,44.0605151543293,0,1
1417,44.0605151543293,0,1
1418,44.0605151543293,0,1
1421,44.0522162796372,0,1
1422,44.0521491752102,0,1
1427,44.0117250311199,0,1
1431,44.0038197441062,0,1
1432,43.9967012031025,0,1
1436,43.9804724077963,0,1
1439,43.9529057079162,0,1
1441,43.9490483133647,0,1
1442,43.9421647061842,0,1
1443,43.9341794371019,0,1
1445,43.9235592056157,0,1
1448,43.906364437443,0,1
1449,43.906364437443,0,1
1450,43.906364437443,0,1
1451,43.906364437443,0,1
1452,43.906364437443,0,1
1453,43.906364437443,0,1
1455,43.906364437443,0,1
1456,43.906364437443,0,1
1457,43.906364437443,0,1
1458,43.906364437443,0,1
1459,43.906364437443,0,1
1460,43.906364437443,0,1
1461,43.906364437443,0,1
1462,43.906364437443,0,1
